RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
77,4,2010-12-15T05:00:00.000Z,VILLAGE RD ,18036,Unsexed - 1 Year         ,2010,700
78,4,2020-01-20T05:00:00.000Z,MELISSA PL ,18037,Unsexed - 1 Year         ,2010,100
79,4,2015-06-13T04:00:00.000Z,BROAD AVE ,18038,Unsexed - 1 Year         ,2010,1500
80,4,2017-02-05T05:00:00.000Z,MCELROY DR ,18039,Unsexed - 1 Year         ,2010,2700
81,10,2010-09-07T04:00:00.000Z,RIDGE ST ,18040,Sexed - 1 Year           ,2010,1000
82,4,2010-06-22T04:00:00.000Z,UNKNOWN ,18041,Unsexed - 1 Year         ,2010,0
83,4,2012-11-17T05:00:00.000Z,WOODLAND DR ,18042,Unsexed - 1 Year         ,2010,2500
84,4,2012-11-17T05:00:00.000Z,WOODLAND DR ,18043,Unsexed - 1 Year         ,2010,2500
85,4,2011-01-21T05:00:00.000Z,5TH ST SW ,18044,Unsexed - 1 Year         ,2010,2100
86,4,2012-10-09T04:00:00.000Z,MELBOURNE PARK CIR ,18045,Unsexed - 1 Year         ,2010,100
87,4,2010-10-29T04:00:00.000Z,MONTICELLO AVE ,18046,Unsexed - 1 Year         ,2010,9200
88,4,2010-08-14T04:00:00.000Z,MONTICELLO AVE ,18047,Unsexed - 1 Year         ,2010,9200
89,4,2011-01-18T05:00:00.000Z,UNKNOWN ,18049,Unsexed - 1 Year         ,2010,0
90,4,2010-11-10T05:00:00.000Z,CLEVELAND AVE ,18050,Unsexed - 1 Year         ,2010,100
91,4,2011-03-16T04:00:00.000Z,BRANDON AVE ,18051,Unsexed - 1 Year         ,2010,400
92,4,2012-12-30T05:00:00.000Z,RIVER CT ,18052,Unsexed - 1 Year         ,2010,1100
93,4,2019-06-13T04:00:00.000Z,HOWARD DR ,18053,Unsexed - 1 Year         ,2010,100
94,4,2011-01-07T05:00:00.000Z,BIRDWOOD CT ,18054,Unsexed - 1 Year         ,2010,100
95,4,2017-04-28T04:00:00.000Z,KENWOOD LN ,18055,Unsexed - 1 Year         ,2010,1400
96,4,2016-02-07T05:00:00.000Z,PARK PLZ ,18057,Unsexed - 1 Year         ,2010,500
97,4,2020-06-12T04:00:00.000Z,MONTICELLO AVE ,18058,Unsexed - 1 Year         ,2010,600
98,4,2019-06-24T04:00:00.000Z,JEFFERSON PARK AVE ,18059,Unsexed - 1 Year         ,2010,2700
99,4,2014-04-27T04:00:00.000Z,LONGWOOD DR ,18060,Unsexed - 1 Year         ,2010,1200
100,4,2019-10-21T04:00:00.000Z,CHERRY AVE ,18061,Unsexed - 1 Year         ,2010,1100
101,4,2013-01-13T05:00:00.000Z,SEMINOLE TRL ,18062,Unsexed - 1 Year         ,2010,3400
102,4,2011-03-28T04:00:00.000Z,W MAIN ST ,18063,Unsexed - 1 Year         ,2010,500
103,4,2011-03-12T05:00:00.000Z,UNKNOWN ,18064,Unsexed - 1 Year         ,2010,0
104,10,2020-02-02T05:00:00.000Z,TRIPPER CT ,18065,Sexed - 1 Year           ,2010,100
105,4,2014-12-17T05:00:00.000Z,MORRIS RD ,18066,Unsexed - 1 Year         ,2010,2100
106,4,2011-01-25T05:00:00.000Z,UNKNOWN ,18067,Unsexed - 1 Year         ,2010,0
107,10,2011-02-22T05:00:00.000Z,UNKNOWN ,18068,Sexed - 1 Year           ,2010,0
108,4,2013-07-21T04:00:00.000Z,MADISON AVE ,18069,Unsexed - 1 Year         ,2010,700
109,4,2014-04-20T04:00:00.000Z,LOCUST AVE ,18070,Unsexed - 1 Year         ,2010,1100
110,4,2019-12-29T05:00:00.000Z,AMHERST ST ,18071,Unsexed - 1 Year         ,2010,1500
111,10,2011-03-01T05:00:00.000Z,PLATEAU RD ,18072,Sexed - 1 Year           ,2010,2500
112,4,2010-12-09T05:00:00.000Z,CLEVELAND AVE ,18073,Unsexed - 1 Year         ,2010,100
113,4,2011-01-22T05:00:00.000Z,ORANGEDALE AVE ,18074,Unsexed - 1 Year         ,2010,700
114,4,2011-03-01T05:00:00.000Z,PLATEAU RD ,18075,Unsexed - 1 Year         ,2010,2500
115,4,2020-04-06T04:00:00.000Z,DICE ST ,18076,Unsexed - 1 Year         ,2010,200
116,4,2016-03-27T04:00:00.000Z,BIRDWOOD CT ,18077,Unsexed - 1 Year         ,2010,100
117,4,2010-09-25T04:00:00.000Z,NAYLOR ST ,18078,Unsexed - 1 Year         ,2010,25200
118,10,2014-10-02T04:00:00.000Z,NAYLOR ST ,18079,Sexed - 1 Year           ,2010,25200
119,4,2013-02-19T05:00:00.000Z,GROVER CT ,18080,Unsexed - 1 Year         ,2010,100
120,4,2011-03-02T05:00:00.000Z,GROVE RD ,18081,Unsexed - 1 Year         ,2010,1400
121,4,2011-01-28T05:00:00.000Z,MERIWETHER ST ,18082,Unsexed - 1 Year         ,2010,1200
122,4,2016-03-18T04:00:00.000Z,HOLMES AVE ,18083,Unsexed - 1 Year         ,2010,12200
123,4,2010-08-07T04:00:00.000Z,UNKNOWN ,18084,Unsexed - 1 Year         ,2010,1300
124,10,2011-03-11T05:00:00.000Z,UNKNOWN ,18085,Sexed - 1 Year           ,2010,1400
125,4,2012-12-07T05:00:00.000Z,BLAND CIR ,18086,Unsexed - 1 Year         ,2010,1200
126,4,2012-09-26T04:00:00.000Z,LINDEN AVE ,18087,Unsexed - 1 Year         ,2010,1000
127,4,2010-08-13T04:00:00.000Z,ELLIOTT AVE ,18088,Unsexed - 1 Year         ,2010,800
128,4,2011-03-04T05:00:00.000Z,ALTAVISTA AVE ,18089,Unsexed - 1 Year         ,2010,600
129,4,2010-11-23T05:00:00.000Z,UNASSIGNED ,18090,Unsexed - 1 Year         ,2010,700
130,4,2018-08-03T04:00:00.000Z,BOLLING AVE ,18091,Unsexed - 1 Year         ,2010,800
131,10,2014-02-25T05:00:00.000Z,ROSA TER ,18092,Sexed - 1 Year           ,2010,1500
132,4,2014-03-02T05:00:00.000Z,WATSON AVE ,18093,Unsexed - 1 Year         ,2010,600
133,4,2011-03-16T04:00:00.000Z,6TH ST SE ,18094,Unsexed - 1 Year         ,2010,7000
